TID: [2026-01-28 18:20:24,050]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2026-01-28 18:20:58,219]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy awsOAuth2_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,227]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy AzureContentSafetyContentModeration_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,232]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy azureOAuth2_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,236]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy azureRateLimit_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,242]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy azureSetHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,247]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy backEndJWT_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,256]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy changeHTTPMethod_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,265]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ContentLengthGuardrail_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,272]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugJsonFault_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,276]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugRequestFlow_v2 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,280]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugResponseFlow_v2 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,284]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy disableChunking_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,290]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonFault_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,299]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy JSONSchemaGuardrail_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,304]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonToXML_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,311]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonValidator_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,318]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jwtClaimBasedAccessValidator_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,324]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy modelFailover_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,328]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy modelRoundRobin_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,334]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy modelWeightedRoundRobin_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,343]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy opaPolicy_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,350]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy PIIMaskingRegex_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,357]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy preserveAcceptHeader_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,365]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy PromptDecorator_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,373]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy PromptTemplate_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,377]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy RegexGuardrail_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,381]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy regexPolicy_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,384]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy removeHeader_v2 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,390]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy revokeOneTimeToken_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,396]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy rewriteResourcePath_v3 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,401]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy SemanticCache_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,409]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy SemanticPromptGuardrail_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,416]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy SentenceCountGuardrail_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,423]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy setToHeaderWS_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,429]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy setToHeader_v2 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,439]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy URLGuardrail_v1.0 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,447]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy validateCsrfCookie_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,454]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy WordCountGuardrail_v1.1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,457]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy xmlToJson_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,462]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy xmlValidator_v1 was added to the organization carbon.super successfully
TID: [] [] [2026-01-28 18:20:58,554]  INFO {org.wso2.carbon.apimgt.impl.dao.CorrelationConfigDAO} - Correlation Components [http, jdbc, ldap, synapse, method-calls]
TID: [] [] [2026-01-28 18:20:58,716]  INFO {org.wso2.carbon.apimgt.common.jms.factory.JMSConnectionFactory} - JMS ConnectionFactory : Siddhi-JMS-Consumer initialized
TID: [] [] [2026-01-28 18:20:58,730]  INFO {org.wso2.carbon.apimgt.governance.impl.ComplianceEvaluationScheduler} - Initializing Evaluation Request Scheduler...
TID: [] [] [2026-01-28 18:20:58,748]  INFO {org.wso2.carbon.apimgt.common.jms.factory.JMSConnectionFactory} - JMS ConnectionFactory : Siddhi-JMS-Consumer initialized
TID: [] [] [2026-01-28 18:20:58,867]  INFO {org.wso2.carbon.apimgt.common.jms.factory.JMSConnectionFactory} - JMS ConnectionFactory : Siddhi-JMS-Consumer initialized
TID: [] [] [2026-01-28 18:20:59,007]  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - The default OAuth token issuer will be used. No custom token generator is set.
TID: [] [] [2026-01-28 18:20:59,007]  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - An instance of org.wso2.carbon.identity.oauth2.token.OauthTokenIssuerImpl is created for Identity OAuth token generation.
TID: [] [] [2026-01-28 18:21:00,743]  INFO {org.wso2.carbon.identity.local.auth.api.core.internal.AuthAPIServiceComponent} - Auth API Service Component  is activated.
TID: [] [] [2026-01-28 18:21:01,062]  WARN {org.wso2.carbon.identity.event.internal.IdentityEventServiceComponent} - Properties for OrganizationCreationHandler is not configured. This event handler will not be activated
TID: [] [] [2026-01-28 18:21:01,108]  WARN {org.wso2.carbon.identity.application.authentication.framework.internal.FrameworkServiceComponent} - Adaptive authentication is disabled.
TID: [] [] [2026-01-28 18:21:01,209]  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore} - Thread pool size for temporary authentication context data delete task: 20
TID: [] [] [2026-01-28 18:21:03,555]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} - Starting ESB...
TID: [] [] [2026-01-28 18:21:03,579]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} - Initializing Apache Synapse...
TID: [] [] [2026-01-28 18:21:03,587]  INFO {org.apache.synapse.SynapseControllerFactory} - Using Synapse home : C:\Users\vidal\DOCUME~1\API-M_~1\WSO2AM~1.0\.
TID: [] [] [2026-01-28 18:21:03,587]  INFO {org.apache.synapse.SynapseControllerFactory} - Using synapse.xml location : C:\Users\vidal\DOCUME~1\API-M_~1\WSO2AM~1.0\.\.\repository\deployment\server\synapse-configs\default
TID: [] [] [2026-01-28 18:21:03,587]  INFO {org.apache.synapse.SynapseControllerFactory} - Using server name : localhost
TID: [] [] [2026-01-28 18:21:03,607]  INFO {org.apache.synapse.SynapseControllerFactory} - The timeout handler will run every : 15s
TID: [] [] [2026-01-28 18:21:03,629]  INFO {org.apache.synapse.Axis2SynapseController} - Initializing Synapse at : Wed Jan 28 18:21:03 GMT 2026
TID: [] [] [2026-01-28 18:21:03,637]  INFO {org.wso2.carbon.mediation.initializer.CarbonSynapseController} - Loading the mediation configuration from the file system
TID: [] [] [2026-01-28 18:21:03,639]  INFO {org.apache.synapse.config.xml.MultiXMLConfigurationBuilder} - Building synapse configuration from the synapse artifact repository at : .\.\repository/deployment/server/synapse-configs\default
TID: [] [] [2026-01-28 18:21:03,640]  INFO {org.apache.synapse.config.xml.XMLConfigurationBuilder} - Generating the Synapse configuration model by parsing the XML configuration
TID: [] [] [2026-01-28 18:21:03,789]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : dispatchSeq was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:03,849]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : fault was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:03,888]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : guardrail_fault was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:03,978]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : main was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:03,981]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : outDispatchSeq was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,021]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : webhooksFaultSequence was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,048]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _auth_failure_handler_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,076]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _backend_failure_handler_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,085]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _api_blocked_sequence_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,091]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _build_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,130]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _cors_request_handler_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,132]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _extension_fault_handler_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,148]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _graphql_failure_handler was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,166]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _mcp_failure_handler_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,195]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _opa_policy_failure_handler_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,197]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _production_key_error_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,198]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _resource_mismatch_handler_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,201]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _sandbox_key_error_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,229]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _threat_fault_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,281]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _throttle_out_handler_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,308]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _token_fault_ was added to the Synapse configuration successfully
TID: [] [] [2026-01-28 18:21:04,350]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - API : _OpenService_ was added to the Synapse configuration successfully
